Fitness,Precision,F1_Score
0.7828418230563002,1.0,0.8781954887218044
0.9168900804289544,1.0,0.9566433566433566
0.9329758713136729,1.0,0.9653259361997226
0.9597803765127265,1.0,0.9794774843297283
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.997309933994992,1.0,0.9986531554471232
0.9999900850981859,1.0,0.9999950425245165
0.9999900850981859,1.0,0.9999950425245165
0.9999900850981859,1.0,0.9999950425245165
