Fitness,Precision,F1_Score
0.8900756564307966,1.0,0.9418412997409936
0.9436946718784349,1.0,0.9710318040501957
0.9436946718784349,1.0,0.9710318040501957
0.9597752302924365,1.0,0.9794748045154336
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.9973045865459887,1.0,0.998650474508411
0.99998441952828,1.0,0.9999922097034517
0.99998441952828,1.0,0.9999922097034517
0.99998441952828,1.0,0.9999922097034517
