Fitness,Precision,F1_Score
0.6145833333333333,1.0,0.7612903225806451
0.6770748698974596,1.0,0.8074473979075932
0.7187410157373033,1.0,0.8363575537632454
0.8229063803369124,1.0,0.9028509518791872
0.8229063803369124,1.0,0.9028509518791872
0.8229063803369124,1.0,0.9028509518791872
0.8437289067773306,1.0,0.9152418272294613
0.8437289067773306,1.0,0.9152418272294613
0.8853945318033716,1.0,0.9392140656698474
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
0.9999750006249843,1.0,0.999987500156248
