Fitness,Precision,F1_Score
0.8075214070816941,1.0,0.8935124130955278
0.980174344810915,0.63009177482303,0.7670779196401479
0.980174344810915,0.63009177482303,0.7670779196401479
0.9911868871302847,1.0,0.9955739398814458
0.9968383064714245,1.0,0.9984166502023077
0.9968383064714245,1.0,0.9984166502023077
0.9972001724409506,1.0,0.998598123714546
0.997325214839485,1.0,0.9986608164055397
0.9998811563217258,1.0,0.9999405746296981
0.9998811563217258,1.0,0.9999405746296981
0.9998811563217258,1.0,0.9999405746296981
0.9998811563217258,1.0,0.9999405746296981
0.9998811563217258,1.0,0.9999405746296981
0.9999037766047358,1.0,0.999951885987521
0.9999037766047358,1.0,0.999951885987521
0.9999037766047358,1.0,0.999951885987521
0.9999037766047358,1.0,0.999951885987521
0.9999037766047358,1.0,0.999951885987521
0.9999037766047358,1.0,0.999951885987521
0.9999150867462409,1.0,0.9999575415704787
0.9999150867462409,1.0,0.9999575415704787
0.9999150867462409,1.0,0.9999575415704787
0.9999150867462409,1.0,0.9999575415704787
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
0.9998960344560763,1.0,0.9999480145256892
